Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status
P06-A2,P06,P06-CA01,P06-WP012,Project Definition,Task,10,2025-08-22,2025-09-04,Project-type realism,Source-derived / reconstructed network
P06-A3,P06,P06-CA02,P06-WP021,Preliminary Design,Task,20,2025-09-05,2025-10-02,Project-type realism,Source-derived / reconstructed network
P06-A4,P06,P06-CA02,P06-WP022,Final Design,Task,20,2025-10-10,2025-11-06,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network
P06-A5,P06,P06-CA03,P06-WP031,Bid Advertisement,Task,15,2025-10-24,2025-11-13,Project-type realism,Source-derived / reconstructed network
P06-M1,P06,P06-CA04,P06-WP041,Design Complete,Milestone,0,2025-11-06,2025-11-06,Approved milestone / interface milestone,Source-explicit milestone date
P06-A4b,P06,P06-CA02,P06-WP022,Regulatory Plan Review & Approval,Task,10,2025-11-07,2025-11-20,Project-type realism,Source-derived / reconstructed network
P06-A5b,P06,P06-CA03,P06-WP031,Evaluation & Award,Task,10,2025-11-14,2025-11-27,Project-type realism,Source-derived / reconstructed network
P06-A5c,P06,P06-CA03,P06-WP032,Governing Body Approval,Task,10,2025-11-28,2025-12-11,Project-type realism,Source-derived / reconstructed network
P06-M2,P06,P06-CA04,P06-WP041,Contract Award / NTP,Milestone,0,2025-12-25,2025-12-25,Approved milestone / interface milestone,Source-explicit milestone date
P06-A10,P06,P06-CA01,P06-WP011,Meter/Endpoint Inventory & Route Planning,Task,20,2025-12-26,2026-01-22,Project-type realism,Source-derived / reconstructed network
P06-A11,P06,P06-CA03,P06-WP031,Meter/Endpoint Submittal Review,Task,15,2025-12-26,2026-01-15,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-A15,P06,P06-CA04,P06-WP041,Pilot Deployment Planning & Customer Selection,Task,10,2025-12-26,2026-01-08,Project-type realism,Source-derived / reconstructed network
P06-A6,P06,P06-CA03,P06-WP032,Contractor Mobilization,Task,10,2025-12-26,2026-01-08,Project-type realism,Source-derived / reconstructed network
P06-A7,P06,P06-CA02,P06-WP022,Communications/Network Design,Task,20,2025-12-26,2026-01-22,Project-type realism,Source-derived / reconstructed network
P06-A8,P06,P06-CA02,P06-WP022,Cybersecurity & IT Coordination,Task,15,2025-12-26,2026-01-15,Project-type realism,Source-derived / reconstructed network
P06-A12,P06,P06-CA04,P06-WP041,Meter/Endpoint Fabrication,Task,60,2026-01-16,2026-04-09,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-A9,P06,P06-CA04,P06-WP042,Head-End / Meter Data Management System Configuration,Task,30,2026-01-23,2026-03-05,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-A14,P06,P06-CA05,P06-WP051,System Integration — head-end / MDM / billing,Task,20,2026-03-06,2026-04-02,Project-type realism,Source-derived / reconstructed network
P06-A13,P06,P06-CA04,P06-WP041,Meter/Endpoint Delivery,Task,10,2026-04-10,2026-04-23,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-APILOTSTAGE,P06,P06-CA04,P06-WP041,Pilot Equipment Staging & Configuration,Task,5,2026-04-24,2026-04-30,Approved P06 v2 added prerequisite,Source-derived / reconstructed network
P06-A16,P06,P06-CA04,P06-WP041,Pilot Deployment,Task,15,2026-05-01,2026-05-21,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-AFIRSTPILOT,P06,P06-CA04,P06-WP041,Install First Pilot Endpoints,Task,2,2026-05-01,2026-05-04,Approved P06 v2 explicit completed-scope activity,Source-derived / reconstructed network
P06-MFIRSTPILOT,P06,P06-CA05,P06-WP051,First Pilot Endpoints Live,Milestone,0,2026-05-05,2026-05-05,Approved P06 v2 completed-scope milestone,Reconstructed date pending full executable-script recovery
P06-MSYSINT,P06,P06-CA04,P06-WP041,MSYSINT,Milestone,0,2026-05-21,2026-05-21,Approved milestone / interface milestone,Source-explicit milestone date
P06-A17,P06,P06-CA05,P06-WP051,Pilot Validation,Task,15,2026-05-22,2026-06-11,Project-type realism,Source-derived / reconstructed network
P06-A18a,P06,P06-CA04,P06-WP041,Field Deployment Wave 1,Task,35,2026-06-12,2026-07-30,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-MPILOTREADY,P06,P06-CA05,P06-WP051,Pilot Ready,Milestone,0,2026-06-12,2026-06-12,Approved P06 v2 corrected pre-deployment gate,Source-explicit milestone date
P06-A19a,P06,P06-CA04,P06-WP041,Field Deployment Wave 2,Task,35,2026-07-03,2026-08-20,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-MPILOTDONE,P06,P06-CA04,P06-WP041,MPILOTDONE,Milestone,0,2026-07-16,2026-07-16,Approved milestone / interface milestone,Source-explicit milestone date
P06-A20a,P06,P06-CA04,P06-WP041,Field Deployment Wave 3,Task,35,2026-07-24,2026-09-10,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-A18b,P06,P06-CA04,P06-WP043,Wave 1 Data Migration / Account Reconciliation,Task,10,2026-07-31,2026-08-13,Project-type realism,Source-derived / reconstructed network
P06-A21a,P06,P06-CA04,P06-WP041,Field Deployment Wave 4,Task,35,2026-08-14,2026-10-01,"Synthetic, industry-informed",Source-derived / reconstructed network
P06-A19b,P06,P06-CA04,P06-WP043,Wave 2 Data Migration / Account Reconciliation,Task,10,2026-08-21,2026-09-03,Project-type realism,Source-derived / reconstructed network
P06-M25,P06,P06-CA04,P06-WP041,M25,Milestone,0,2026-09-03,2026-09-03,Approved milestone / interface milestone,Source-explicit milestone date
P06-A20b,P06,P06-CA04,P06-WP043,Wave 3 Data Migration / Account Reconciliation,Task,10,2026-09-11,2026-09-24,Project-type realism,Source-derived / reconstructed network
P06-M50,P06,P06-CA04,P06-WP041,M50,Milestone,0,2026-09-24,2026-09-24,Approved milestone / interface milestone,Source-explicit milestone date
P06-A21b,P06,P06-CA04,P06-WP043,Wave 4 Data Migration / Account Reconciliation,Task,10,2026-10-02,2026-10-15,Project-type realism,Source-derived / reconstructed network
P06-M75,P06,P06-CA04,P06-WP041,M75,Milestone,0,2026-10-15,2026-10-15,Approved milestone / interface milestone,Source-explicit milestone date
P06-A22,P06,P06-CA04,P06-WP041,Exception Handling & Remediation,Task,15,2026-10-16,2026-11-05,Project-type realism,Source-derived / reconstructed network
P06-MFULL,P06,P06-CA04,P06-WP041,MFULL,Milestone,0,2026-11-05,2026-11-05,Approved milestone / interface milestone,Source-explicit milestone date
P06-A23,P06,P06-CA05,P06-WP051,Final Deployment Verification,Task,10,2026-11-06,2026-11-19,Project-type realism,Source-derived / reconstructed network
P06-A24,P06,P06-CA04,P06-WP041,Operational Handoff / Training,Task,10,2026-11-20,2026-12-03,Project-type realism,Source-derived / reconstructed network
P06-A25,P06,P06-CA06,P06-WP061,Documentation & Turnover,Task,10,2026-12-04,2026-12-17,Project-type realism,Source-derived / reconstructed network
P06-M3,P06,P06-CA04,P06-WP041,Substantial Completion,Milestone,0,2026-12-10,2026-12-10,Approved milestone / interface milestone,Source-explicit milestone date
P06-MOPACC,P06,P06-CA04,P06-WP041,MOPACC,Milestone,0,2026-12-10,2026-12-10,Approved milestone / interface milestone,Source-explicit milestone date
P06-A26,P06,P06-CA06,P06-WP062,Financial Closeout,Task,15,2026-12-18,2027-01-07,Project-type realism,Source-derived / reconstructed network
P06-M4,P06,P06-CA04,P06-WP041,Final Completion,Milestone,0,2027-01-07,2027-01-07,Approved milestone / interface milestone,Source-explicit milestone date
P07-A1,P07,P07-CA01,P07-WP011,Hydraulic & Operational Assessment,Task,15,2025-10-01,2025-10-21,Project-type realism,Source-derived / reconstructed network
P07-A2,P07,P07-CA01,P07-WP012,Project Definition & Pressure-Zone Strategy,Task,10,2025-10-22,2025-11-04,Project-type realism,Source-derived / reconstructed network
P07-A3,P07,P07-CA02,P07-WP021,Preliminary Design — PRV/Valve Siting & Instrumentation Plan,Task,20,2025-11-05,2025-12-02,Project-type realism,Source-derived / reconstructed network
P07-A4,P07,P07-CA02,P07-WP022,Final Design (100%),Task,20,2025-12-10,2026-01-06,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network
P07-A5,P07,P07-CA03,P07-WP031,Bid Advertisement,Task,15,2025-12-24,2026-01-13,Project-type realism,Source-derived / reconstructed network
P07-M1,P07,P07-CA04,P07-WP041,Design Complete,Milestone,0,2026-01-06,2026-01-06,Approved milestone / interface milestone,Source-explicit milestone date
P07-A4b,P07,P07-CA02,P07-WP022,Regulatory Plan Review & Approval,Task,15,2026-01-07,2026-01-27,Project-type realism,Source-derived / reconstructed network
P07-A5b,P07,P07-CA03,P07-WP031,Evaluation & Award,Task,10,2026-01-14,2026-01-27,Project-type realism,Source-derived / reconstructed network
P07-A5c,P07,P07-CA03,P07-WP032,Governing Body Approval,Task,10,2026-01-28,2026-02-10,Project-type realism,Source-derived / reconstructed network
P07-M2,P07,P07-CA04,P07-WP041,Contract Award / NTP,Milestone,0,2026-02-24,2026-02-24,Approved milestone / interface milestone,Source-explicit milestone date
P07-A6,P07,P07-CA03,P07-WP032,Contractor Mobilization,Task,10,2026-02-25,2026-03-10,Project-type realism,Source-derived / reconstructed network
P07-A7,P07,P07-CA04,P07-WP041,Utility Coordination & Locate Requests,Task,10,2026-02-25,2026-03-10,Project-type realism,Source-derived / reconstructed network
P07-A8,P07,P07-CA03,P07-WP031,PRV/Valve/Instrumentation Submittal Review,Task,15,2026-02-25,2026-03-17,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P07-A10,P07,P07-CA04,P07-WP041,PRV Station Vault/Enclosure Construction,Task,15,2026-03-11,2026-03-31,Project-type realism,Source-derived / reconstructed network
P07-A9,P07,P07-CA04,P07-WP043,PRV/Valve/Instrumentation Procurement,Task,30,2026-03-18,2026-04-28,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P07-A11,P07,P07-CA04,P07-WP042,PRV & Isolation Valve Installation,Task,15,2026-04-29,2026-05-19,Project-type realism,Source-derived / reconstructed network
P07-A12,P07,P07-CA04,P07-WP043,Instrumentation & Monitoring Installation,Task,10,2026-05-20,2026-06-02,Project-type realism,Source-derived / reconstructed network
P07-A13,P07,P07-CA04,P07-WP043,Electrical/Controls Integration,Task,10,2026-06-03,2026-06-16,Project-type realism,Source-derived / reconstructed network
P07-A14,P07,P07-CA05,P07-WP051,Pressure Testing & Commissioning,Task,10,2026-06-17,2026-06-30,Project-type realism,Source-derived / reconstructed network
P07-MCOMM,P07,P07-CA04,P07-WP041,MCOMM,Milestone,0,2026-06-30,2026-06-30,Approved milestone / interface milestone,Source-explicit milestone date
P07-A15,P07,P07-CA05,P07-WP051,System Balancing & Optimization,Task,15,2026-07-01,2026-07-21,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P07-MBAL,P07,P07-CA04,P07-WP041,MBAL,Milestone,0,2026-07-21,2026-07-21,Approved milestone / interface milestone,Source-explicit milestone date
P07-A16,P07,P07-CA04,P07-WP041,Final Inspection & Punch List,Task,10,2026-07-22,2026-08-04,Project-type realism,Source-derived / reconstructed network
P07-M3,P07,P07-CA04,P07-WP041,Substantial Completion,Milestone,0,2026-08-04,2026-08-04,Approved milestone / interface milestone,Source-explicit milestone date
P07-A17,P07,P07-CA06,P07-WP061,Documentation & Turnover,Task,10,2026-08-05,2026-08-18,Project-type realism,Source-derived / reconstructed network
P07-A18,P07,P07-CA06,P07-WP062,Financial Closeout,Task,15,2026-08-19,2026-09-08,Project-type realism,Source-derived / reconstructed network
P07-M4,P07,P07-CA04,P07-WP041,Final Completion,Milestone,0,2026-09-01,2026-09-01,Approved milestone / interface milestone,Source-explicit milestone date
P08-A1,P08,P08-CA01,P08-WP011,Electrical Load / Resiliency Assessment,Task,15,2025-12-01,2025-12-19,Project-type realism,Source-derived / reconstructed network
P08-A2,P08,P08-CA01,P08-WP012,Project Definition & Generator Sizing Basis,Task,10,2025-12-22,2026-01-02,Project-type realism,Source-derived / reconstructed network
P08-A3,P08,P08-CA02,P08-WP021,Preliminary Design — Switchgear/ATS & Site Layout,Task,20,2026-01-05,2026-01-30,Project-type realism,Source-derived / reconstructed network
P08-A7,P08,P08-CA04,P08-WP041,Electric Utility Coordination,Task,15,2026-01-19,2026-02-06,Project-type realism,Source-derived / reconstructed network
P08-A4,P08,P08-CA02,P08-WP022,Final Design — Switchgear/ATS & Site Layout,Task,20,2026-02-09,2026-03-06,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network
P08-A5,P08,P08-CA03,P08-WP031,Bid Advertisement,Task,15,2026-02-23,2026-03-13,Project-type realism,Source-derived / reconstructed network
P08-I-P08-01,P08,P08-CA04,P08-WP042,Generator/ATS Controls Design Freeze,Milestone,0,2026-03-06,2026-03-06,Approved milestone / interface milestone,Source-explicit milestone date
P08-M1,P08,P08-CA04,P08-WP041,Design Complete,Milestone,0,2026-03-06,2026-03-06,Approved milestone / interface milestone,Source-explicit milestone date
P08-A4b,P08,P08-CA02,P08-WP022,Regulatory Plan Review & Approval,Task,15,2026-03-09,2026-03-27,Project-type realism,Source-derived / reconstructed network
P08-A5b,P08,P08-CA03,P08-WP031,Evaluation & Award,Task,10,2026-03-16,2026-03-27,Project-type realism,Source-derived / reconstructed network
P08-A5c,P08,P08-CA03,P08-WP032,Governing Body Approval,Task,10,2026-03-30,2026-04-10,Project-type realism,Source-derived / reconstructed network
P08-M2,P08,P08-CA04,P08-WP041,Contract Award / NTP,Milestone,0,2026-04-24,2026-04-24,Approved milestone / interface milestone,Source-explicit milestone date
P08-A13,P08,P08-CA04,P08-WP041,Site/Civil Preparation & Concrete Pad/Enclosure Work,Task,15,2026-04-27,2026-05-15,Project-type realism,Source-derived / reconstructed network
P08-A14,P08,P08-CA04,P08-WP041,Outage/Shutdown Planning & Operations Coordination,Task,10,2026-04-27,2026-05-08,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P08-A6,P08,P08-CA03,P08-WP032,Contractor Mobilization,Task,10,2026-04-27,2026-05-08,Project-type realism,Source-derived / reconstructed network
P08-A8,P08,P08-CA03,P08-WP031,Generator/Switchgear Submittal Review,Task,15,2026-04-27,2026-05-15,Project-type realism,Source-derived / reconstructed network
P08-I-P08-02,P08,P08-CA04,P08-WP041,Approved Point List Available,Milestone,0,2026-05-15,2026-05-15,Approved milestone / interface milestone,Source-explicit milestone date
P08-A10,P08,P08-CA04,P08-WP042,Switchgear/ATS Fabrication,Task,60,2026-05-18,2026-08-07,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P08-A9,P08,P08-CA04,P08-WP041,Generator Fabrication,Task,75,2026-05-18,2026-08-28,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P08-MOUTAGE,P08,P08-CA04,P08-WP041,MOUTAGE,Milestone,0,2026-05-22,2026-05-22,Approved milestone / interface milestone,Source-explicit milestone date
P08-A10fat,P08,P08-CA04,P08-WP042,FAT — Switchgear/ATS,Task,8,2026-08-10,2026-08-19,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P08-A12,P08,P08-CA04,P08-WP042,Delivery & Receiving — Switchgear/ATS,Task,8,2026-08-20,2026-08-31,Project-type realism,Source-derived / reconstructed network
P08-A9fat,P08,P08-CA04,P08-WP041,FAT — Generator,Task,10,2026-08-31,2026-09-11,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P08-A16,P08,P08-CA04,P08-WP042,ATS-Switchgear Installation,Task,15,2026-09-01,2026-09-21,Project-type realism,Source-derived / reconstructed network
P08-A11,P08,P08-CA04,P08-WP041,Delivery & Rigging — Generator,Task,10,2026-09-14,2026-09-25,Project-type realism,Source-derived / reconstructed network
P08-A15,P08,P08-CA04,P08-WP041,Generator Installation & Rigging Set,Task,10,2026-09-28,2026-10-09,Project-type realism,Source-derived / reconstructed network
P08-A17,P08,P08-CA04,P08-WP041,Electrical/Controls Integration,Task,10,2026-10-12,2026-10-23,Project-type realism,Source-derived / reconstructed network
P08-A18,P08,P08-CA05,P08-WP051,Startup,Task,10,2026-10-26,2026-11-06,Project-type realism,Source-derived / reconstructed network
P08-I-P08-03,P08,P08-CA04,P08-WP041,Controls Available for Integration,Milestone,0,2026-11-06,2026-11-06,Approved milestone / interface milestone,Source-explicit milestone date
P08-MSTART,P08,P08-CA04,P08-WP041,MSTART,Milestone,0,2026-11-06,2026-11-06,Approved milestone / interface milestone,Source-explicit milestone date
P08-A19,P08,P08-CA05,P08-WP051,Load-Bank Testing,Task,10,2026-11-09,2026-11-20,Project-type realism,Source-derived / reconstructed network
P08-A20,P08,P08-CA05,P08-WP051,Emergency-Transfer (ATS) Testing,Task,5,2026-11-23,2026-11-27,Project-type realism,Source-derived / reconstructed network
P08-MOPACC,P08,P08-CA04,P08-WP041,MOPACC,Milestone,0,2026-11-27,2026-11-27,Approved milestone / interface milestone,Source-explicit milestone date
P08-A21,P08,P08-CA04,P08-WP041,Final Inspection & Punch List,Task,10,2026-11-30,2026-12-11,Project-type realism,Source-derived / reconstructed network
P08-M3,P08,P08-CA04,P08-WP041,Substantial Completion,Milestone,0,2026-12-11,2026-12-11,Approved milestone / interface milestone,Source-explicit milestone date
P08-A22,P08,P08-CA06,P08-WP061,Documentation & Turnover,Task,10,2026-12-14,2026-12-25,Project-type realism,Source-derived / reconstructed network
P08-A23,P08,P08-CA06,P08-WP062,Financial Closeout,Task,15,2026-12-28,2027-01-15,Project-type realism,Source-derived / reconstructed network
P08-M4,P08,P08-CA04,P08-WP041,Final Completion,Milestone,0,2027-01-08,2027-01-08,Approved milestone / interface milestone,Source-explicit milestone date
P09-A1,P09,P09-CA01,P09-WP011,Route & Condition Assessment,Task,15,2026-02-02,2026-02-20,Project-type realism,Source-derived / reconstructed network
P09-A2,P09,P09-CA01,P09-WP012,Project Definition & Construction Method Selection (HDD),Task,10,2026-02-23,2026-03-06,Synthetic project assumption,Source-derived / reconstructed network
P09-A3a,P09,P09-CA02,P09-WP021,Survey / Geotechnical & Subsurface Investigation,Task,20,2026-03-09,2026-04-03,Project-type realism,Source-derived / reconstructed network
P09-A3,P09,P09-CA02,P09-WP021,Preliminary Design,Task,20,2026-04-06,2026-05-01,Project-type realism,Source-derived / reconstructed network
P09-A4,P09,P09-CA02,P09-WP022,Final Design,Task,20,2026-05-11,2026-06-05,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network
P09-A5,P09,P09-CA03,P09-WP031,Bid Advertisement,Task,15,2026-05-25,2026-06-12,Project-type realism,Source-derived / reconstructed network
P09-M1,P09,P09-CA04,P09-WP041,Design Complete,Milestone,0,2026-06-05,2026-06-05,Approved milestone / interface milestone,Source-explicit milestone date
P09-A4b,P09,P09-CA02,P09-WP022,Environmental/Regulatory Review,Task,30,2026-06-08,2026-07-17,Project-type realism,Source-derived / reconstructed network
P09-A4c,P09,P09-CA02,P09-WP022,Waterway / Environmental Crossing Permit,Task,40,2026-06-08,2026-07-31,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P09-A5b,P09,P09-CA03,P09-WP031,Evaluation & Selection — specialty contractor pool,Task,15,2026-06-15,2026-07-03,Project-type realism,Source-derived / reconstructed network
P09-A5c,P09,P09-CA03,P09-WP032,Governing Body Approval,Task,10,2026-07-06,2026-07-17,Project-type realism,Source-derived / reconstructed network
P09-M2,P09,P09-CA04,P09-WP041,Contract Award / NTP,Milestone,0,2026-07-31,2026-07-31,Approved milestone / interface milestone,Source-explicit milestone date
P09-MPERMIT,P09,P09-CA02,P09-WP022,MPERMIT,Milestone,0,2026-07-31,2026-07-31,Approved milestone / interface milestone,Source-explicit milestone date
P09-A10,P09,P09-CA03,P09-WP031,HDPE Pipe Submittal Review,Task,15,2026-08-03,2026-08-21,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P09-A6,P09,P09-CA03,P09-WP032,Specialty (HDD) Contractor Mobilization,Task,20,2026-08-03,2026-08-28,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P09-A7,P09,P09-CA04,P09-WP041,Utility Coordination & Locate Requests,Task,15,2026-08-03,2026-08-21,Project-type realism,Source-derived / reconstructed network
P09-A8,P09,P09-CA04,P09-WP041,Temporary Bypass/Interconnection Planning,Task,15,2026-08-03,2026-08-21,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P09-A11,P09,P09-CA04,P09-WP042,HDPE Fabrication / Fusion Prep,Task,45,2026-08-24,2026-10-23,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P09-A9,P09,P09-CA04,P09-WP041,Install Temporary Interconnection/Bypass,Task,10,2026-08-24,2026-09-04,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P09-MSPECMOB,P09,P09-CA04,P09-WP041,MSPECMOB,Milestone,0,2026-08-28,2026-08-28,Approved milestone / interface milestone,Source-explicit milestone date
P09-A13,P09,P09-CA04,P09-WP041,Entry/Exit Pit Excavation & Site Setup,Task,10,2026-08-31,2026-09-11,Project-type realism,Source-derived / reconstructed network
P09-A12,P09,P09-CA04,P09-WP041,Delivery & Receiving,Task,8,2026-10-26,2026-11-04,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P09-A14,P09,P09-CA04,P09-WP041,HDD Pilot Bore,Task,20,2026-11-05,2026-12-02,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P09-MCROSSDONE,P09,P09-CA04,P09-WP041,MCROSSDONE,Milestone,0,2026-11-25,2026-11-25,Approved milestone / interface milestone,Source-explicit milestone date
P09-A15,P09,P09-CA04,P09-WP041,Reaming & Pullback,Task,15,2026-12-03,2026-12-23,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P09-A16,P09,P09-CA04,P09-WP041,Tie-In — Entry Side,Task,10,2026-12-24,2027-01-06,Project-type realism,Source-derived / reconstructed network
P09-A17,P09,P09-CA04,P09-WP041,Tie-In — Exit Side,Task,10,2026-12-24,2027-01-06,Project-type realism,Source-derived / reconstructed network
P09-MINSERVICE,P09,P09-CA04,P09-WP041,MINSERVICE,Milestone,0,2026-12-30,2026-12-30,Approved milestone / interface milestone,Source-explicit milestone date
P09-A18,P09,P09-CA05,P09-WP051,Pressure Testing & Disinfection,Task,5,2027-01-14,2027-01-20,Project-type realism; +5bd settling lag in logic,Source-derived / reconstructed network
P09-A19,P09,P09-CA02,P09-WP022,Bacteriological Sampling & Regulatory Clearance,Task,5,2027-01-21,2027-01-27,Project-type realism,Source-derived / reconstructed network
P09-A20,P09,P09-CA04,P09-WP043,Riverbank & Pit Restoration,Task,15,2027-01-28,2027-02-17,Project-type realism,Source-derived / reconstructed network
P09-M3,P09,P09-CA04,P09-WP041,Substantial Completion,Milestone,0,2027-02-03,2027-02-03,Approved milestone / interface milestone,Source-explicit milestone date
P09-A21,P09,P09-CA04,P09-WP041,Final Inspection & Punch List,Task,10,2027-02-18,2027-03-03,Project-type realism,Source-derived / reconstructed network
P09-M4,P09,P09-CA04,P09-WP041,Final Completion,Milestone,0,2027-03-03,2027-03-03,Approved milestone / interface milestone,Source-explicit milestone date
P09-A22,P09,P09-CA06,P09-WP061,Documentation & Turnover,Task,10,2027-03-04,2027-03-17,Project-type realism,Source-derived / reconstructed network
P09-A23,P09,P09-CA06,P09-WP062,Financial Closeout,Task,15,2027-03-18,2027-04-07,Project-type realism,Source-derived / reconstructed network
P10-A1,P10,P10-CA01,P10-WP011,Existing-System / Controls Inventory Assessment,Task,15,2026-04-01,2026-04-21,Project-type realism,Source-derived / reconstructed network
P10-A20,P10,P10-CA05,P10-WP051,System Integration — head-end / PLCs / historian,Task,15,2026-04-01,2026-04-21,Project-type realism,Source-derived / reconstructed network
P10-A2,P10,P10-CA01,P10-WP011,Project Definition & Network/Architecture Assessment,Task,10,2026-04-22,2026-05-05,Project-type realism,Source-derived / reconstructed network
P10-A21,P10,P10-CA05,P10-WP051,Site Acceptance Testing (SAT),Task,15,2026-04-22,2026-05-12,Project-type realism,Source-derived / reconstructed network
P10-A3,P10,P10-CA02,P10-WP022,Control Narrative / Functional Requirements,Task,15,2026-05-06,2026-05-26,Project-type realism,Source-derived / reconstructed network
P10-A22,P10,P10-CA04,P10-WP041,Operator Training,Task,10,2026-05-13,2026-05-26,Project-type realism,Source-derived / reconstructed network
P10-A23,P10,P10-CA05,P10-WP051,Cutover Planning,Task,10,2026-05-13,2026-05-26,Project-type realism,Source-derived / reconstructed network
P10-A24,P10,P10-CA05,P10-WP051,Phased Cutover / Migration from Legacy System,Task,15,2026-05-27,2026-06-16,Project-type realism,Source-derived / reconstructed network
P10-A4,P10,P10-CA02,P10-WP021,PLC/HMI/SCADA Preliminary Design (30%),Task,20,2026-05-27,2026-06-23,Project-type realism,Source-derived / reconstructed network
P10-A5,P10,P10-CA02,P10-WP022,Communications/Network Design,Task,15,2026-06-10,2026-06-30,Project-type realism,Source-derived / reconstructed network
P10-A6b,P10,P10-CA02,P10-WP022,Cybersecurity & IT Coordination,Task,15,2026-06-10,2026-06-30,Project-type realism,Source-derived / reconstructed network
P10-A25,P10,P10-CA05,P10-WP051,Post-Cutover Monitoring & Stabilization,Task,15,2026-06-17,2026-07-07,Project-type realism,Source-derived / reconstructed network
P10-A6,P10,P10-CA02,P10-WP022,Final Design (100%),Task,20,2026-07-01,2026-07-28,Project-type realism,Source-derived / reconstructed network
P10-A26,P10,P10-CA06,P10-WP061,"Documentation, Backup & Turnover",Task,15,2026-07-08,2026-07-28,Project-type realism,Source-derived / reconstructed network
P10-A27,P10,P10-CA04,P10-WP041,Final Inspection & Punch List,Task,10,2026-07-08,2026-07-21,Project-type realism,Source-derived / reconstructed network
P10-A7,P10,P10-CA03,P10-WP031,Bid Advertisement,Task,15,2026-07-15,2026-08-04,Project-type realism,Source-derived / reconstructed network
P10-M1,P10,P10-CA04,P10-WP041,Controls Design Approved,Milestone,0,2026-07-21,2026-07-21,Approved milestone / interface milestone,Source-explicit milestone date
P10-P10-IF-01,P10,P10-CA04,P10-WP041,Final I/O Mapping & Tag Reconciliation,Task,10,2026-07-22,2026-08-04,Approved synthetic project-specific planning assumption,Source-explicit date from approved conditional rerun
P10-A28,P10,P10-CA06,P10-WP062,Financial Closeout,Task,15,2026-07-29,2026-08-18,Project-type realism,Source-derived / reconstructed network
P10-P10-MIF01,P10,P10-CA04,P10-WP041,Final I/O Mapping Complete,Milestone,0,2026-08-04,2026-08-04,Approved milestone / interface milestone,Source-explicit milestone date
P10-A7b,P10,P10-CA03,P10-WP031,Evaluation & Award,Task,10,2026-08-05,2026-08-18,Project-type realism,Source-derived / reconstructed network
P10-A7c,P10,P10-CA03,P10-WP032,Governing Body Approval,Task,10,2026-08-19,2026-09-01,Project-type realism,Source-derived / reconstructed network
P10-M2,P10,P10-CA04,P10-WP041,Contract Award / NTP,Milestone,0,2026-09-08,2026-09-08,Approved milestone / interface milestone,Source-explicit milestone date
P10-A11,P10,P10-CA04,P10-WP042,SCADA Software Licensing & Base System Procurement,Task,15,2026-09-09,2026-09-29,Synthetic project assumption,Source-derived / reconstructed network
P10-A14,P10,P10-CA04,P10-WP041,PLC Programming / Configuration,Task,30,2026-09-09,2026-10-20,Project-type realism,Source-derived / reconstructed network
P10-A15,P10,P10-CA04,P10-WP042,HMI Screen Development & SCADA Software Configuration,Task,25,2026-09-09,2026-10-13,Project-type realism,Source-derived / reconstructed network
P10-A8,P10,P10-CA03,P10-WP032,Contractor/Integrator Mobilization,Task,10,2026-09-09,2026-09-22,Project-type realism,Source-derived / reconstructed network
P10-A9,P10,P10-CA03,P10-WP031,PLC/HMI/Network Hardware Submittal Review,Task,15,2026-09-09,2026-09-29,Project-type realism,Source-derived / reconstructed network
P10-A10,P10,P10-CA04,P10-WP043,Hardware Procurement & Delivery,Task,30,2026-09-30,2026-11-10,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
