Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,WBS_Code,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status,Prior_Approved_or_Reconstructed_Start,Prior_Approved_or_Reconstructed_Finish,Early_Start,Early_Finish,Late_Start,Late_Finish,Total_Float_Days,Critical_Flag
P03-A21,P03,P03-CA04,P03-WP043,1.03.4.3,Chemical Feed Equipment Submittal & Review,Task,15,2025-09-18,2025-10-08,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-02,2025-10-22,2025-09-18,2025-10-08,2026-03-23,2026-04-10,132,FALSE
P03-A22,P03,P03-CA04,P03-WP043,1.03.4.3,Chemical Feed Equipment Fabrication,Task,50,2025-10-09,2025-12-17,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-23,2025-12-31,2025-10-09,2025-12-17,2026-04-13,2026-06-19,132,FALSE
P03-I-P03-02,P03,P03-CA04,P03-WP041,1.03.4.1,Approved Point List Available,Milestone,0,2025-10-15,2025-10-15,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-29,2025-10-29,2025-10-15,2025-10-15,2026-11-17,2026-11-17,284,FALSE
P03-A12,P03,P03-CA04,P03-WP041,1.03.4.1,Process Equipment Fabrication,Task,100,2025-10-16,2026-03-04,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-30,2026-03-18,2025-10-16,2026-03-04,2025-10-16,2026-03-04,0,TRUE
P03-A17,P03,P03-CA04,P03-WP042,1.03.4.2,Electrical Switchgear & Instrumentation Fabrication,Task,80,2025-10-16,2026-02-04,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-30,2026-02-18,2025-10-16,2026-02-04,2025-12-22,2026-04-10,47,FALSE
P03-A23,P03,P03-CA04,P03-WP043,1.03.4.3,Delivery & Receiving Inspection — Chemical Feed,Task,8,2025-12-18,2025-12-29,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-01-01,2026-01-12,2025-12-18,2025-12-29,2026-06-22,2026-07-01,132,FALSE
P03-A18,P03,P03-CA04,P03-WP042,1.03.4.2,FAT — Electrical/I&C,Task,10,2026-02-05,2026-02-18,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-02-19,2026-03-04,2026-02-05,2026-02-18,2026-04-13,2026-04-24,47,FALSE
P03-A19,P03,P03-CA04,P03-WP042,1.03.4.2,Delivery & Receiving Inspection — Electrical/I&C,Task,8,2026-02-19,2026-03-02,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-03-05,2026-03-16,2026-02-19,2026-03-02,2026-04-27,2026-05-06,47,FALSE
P03-A13,P03,P03-CA04,P03-WP041,1.03.4.1,FAT — Process Equipment,Task,15,2026-03-05,2026-03-25,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-03-19,2026-04-08,2026-03-05,2026-03-25,2026-03-05,2026-03-25,0,TRUE
P03-A14,P03,P03-CA04,P03-WP041,1.03.4.1,Delivery & Receiving Inspection — Process Equipment,Task,10,2026-03-26,2026-04-08,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-04-09,2026-04-22,2026-03-26,2026-04-08,2026-03-26,2026-04-08,0,TRUE
P03-M5,P03,P03-CA04,P03-WP041,1.03.4.1,Major Process Equipment Delivered,Milestone,0,2026-04-08,2026-04-08,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-04-22,2026-04-22,2026-04-08,2026-04-08,2027-01-27,2027-01-27,210,FALSE
P03-A15,P03,P03-CA04,P03-WP041,1.03.4.1,Process Mechanical Installation,Task,60,2026-04-09,2026-07-01,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-04-23,2026-07-15,2026-04-09,2026-07-01,2026-04-09,2026-07-01,0,TRUE
P03-A20,P03,P03-CA04,P03-WP042,1.03.4.2,Electrical & Instrumentation Installation,Task,45,2026-05-07,2026-07-08,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-05-21,2026-07-22,2026-05-07,2026-07-08,2026-05-07,2026-07-08,0,TRUE
P03-A24,P03,P03-CA04,P03-WP043,1.03.4.3,Chemical Feed System Installation,Task,25,2026-05-21,2026-06-24,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-06-04,2026-07-08,2026-05-21,2026-06-24,2026-07-02,2026-08-05,30,FALSE
P03-A25,P03,P03-CA04,P03-WP042,1.03.4.2,Electrical & Controls Integration,Task,20,2026-07-09,2026-08-05,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-07-23,2026-08-19,2026-07-09,2026-08-05,2026-07-09,2026-08-05,0,TRUE
P03-A26,P03,P03-CA05,P03-WP051,1.03.5.1,Pre-Startup Inspection & Punch List,Task,15,2026-08-06,2026-08-26,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-08-20,2026-09-09,2026-08-06,2026-08-26,2026-08-06,2026-08-26,0,TRUE
P03-I-P03-03,P03,P03-CA04,P03-WP042,1.03.4.2,Controls Installation Ready for Integration,Milestone,0,2026-08-26,2026-08-26,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-09-09,2026-09-09,2026-08-26,2026-08-26,2027-01-27,2027-01-27,110,FALSE
P03-M6,P03,P03-CA05,P03-WP051,1.03.5.1,Installation Complete / Ready for Startup,Milestone,0,2026-08-26,2026-08-26,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-09-09,2026-09-09,2026-08-26,2026-08-26,2027-01-27,2027-01-27,110,FALSE
P03-A27,P03,P03-CA05,P03-WP051,1.03.5.1,Process Startup & Functional Testing,Task,30,2026-08-27,2026-10-07,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-09-10,2026-10-21,2026-08-27,2026-10-07,2026-08-27,2026-10-07,0,TRUE
P03-A29,P03,P03-CA04,P03-WP041,1.03.4.1,SCADA Integration Checkout,Task,15,2026-09-10,2026-09-30,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-09-24,2026-10-14,2026-09-10,2026-09-30,2026-10-15,2026-11-04,25,FALSE
P03-M7,P03,P03-CA05,P03-WP051,1.03.5.1,Process Startup Complete,Milestone,0,2026-10-07,2026-10-07,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-10-21,2026-10-21,2026-10-07,2026-10-07,2027-01-27,2027-01-27,80,FALSE
P03-A28,P03,P03-CA05,P03-WP051,1.03.5.1,Performance / Acceptance Testing,Task,20,2026-10-08,2026-11-04,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-10-22,2026-11-18,2026-10-08,2026-11-04,2026-10-08,2026-11-04,0,TRUE
P03-M8,P03,P03-CA05,P03-WP051,1.03.5.1,Performance Testing Complete,Milestone,0,2026-11-04,2026-11-04,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-11-18,2026-11-18,2026-11-04,2026-11-04,2027-01-27,2027-01-27,60,FALSE
P03-A30,P03,P03-CA02,P03-WP022,1.03.2.2,Regulatory Acceptance / Final Inspection,Task,20,2026-11-05,2026-12-02,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-11-19,2026-12-16,2026-11-05,2026-12-02,2026-11-05,2026-12-02,0,TRUE
P03-M3,P03,P03-CA04,P03-WP041,1.03.4.1,Substantial Completion,Milestone,0,2026-12-02,2026-12-02,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-16,2026-12-16,2026-12-02,2026-12-02,2027-01-27,2027-01-27,40,FALSE
P03-M9,P03,P03-CA02,P03-WP022,1.03.2.2,Regulatory Acceptance,Milestone,0,2026-12-02,2026-12-02,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-16,2026-12-16,2026-12-02,2026-12-02,2027-01-27,2027-01-27,40,FALSE
P03-A31,P03,P03-CA06,P03-WP061,1.03.6.1,Final Inspection & Punch List (closeout),Task,15,2026-12-03,2026-12-23,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-17,2027-01-06,2026-12-03,2026-12-23,2027-01-07,2027-01-27,25,FALSE
P03-A32,P03,P03-CA06,P03-WP061,1.03.6.1,Documentation & Turnover,Task,20,2026-12-03,2026-12-30,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-17,2027-01-13,2026-12-03,2026-12-30,2026-12-03,2026-12-30,0,TRUE
P03-A33,P03,P03-CA06,P03-WP062,1.03.6.2,Financial Closeout,Task,20,2026-12-31,2027-01-27,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2027-01-14,2027-02-10,2026-12-31,2027-01-27,2026-12-31,2027-01-27,0,TRUE
P03-M4,P03,P03-CA04,P03-WP041,1.03.4.1,Final Completion,Milestone,0,2027-01-27,2027-01-27,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2027-02-17,2027-02-17,2027-01-27,2027-01-27,2027-01-27,2027-01-27,0,TRUE
P04-A1,P04,P04-CA01,P04-WP011,1.04.1.1,Conduct Needs Assessment,Task,10,2025-06-02,2025-06-13,Project-type realism,Source-derived / reconstructed network,2025-06-02,2025-06-13,2025-06-02,2025-06-13,2025-06-02,2025-06-13,0,TRUE
P04-A2,P04,P04-CA01,P04-WP012,1.04.1.2,Finalize Project Definition & Scope,Task,5,2025-06-16,2025-06-20,Project-type realism,Source-derived / reconstructed network,2025-06-16,2025-06-20,2025-06-16,2025-06-20,2025-06-16,2025-06-20,0,TRUE
P04-A3,P04,P04-CA02,P04-WP021,1.04.2.1,Preliminary Design (30%),Task,20,2025-06-23,2025-07-18,Project-type realism,Source-derived / reconstructed network,2025-06-23,2025-07-18,2025-06-23,2025-07-18,2025-06-23,2025-07-18,0,TRUE
P04-A4,P04,P04-CA02,P04-WP022,1.04.2.2,Final Design (100%),Task,25,2025-08-04,2025-09-05,"Synthetic, industry-informed; +10bd review lag in logic",Source-derived / reconstructed network,2025-08-04,2025-09-05,2025-08-04,2025-09-05,2025-08-04,2025-09-05,0,TRUE
P04-A5,P04,P04-CA03,P04-WP031,1.04.3.1,Prepare & Advertise Bid Package,Task,15,2025-08-18,2025-09-05,Project-type realism,Source-derived / reconstructed network,2025-08-18,2025-09-05,2025-08-18,2025-09-05,2025-08-18,2025-09-05,0,TRUE
P04-M1,P04,P04-CA04,P04-WP041,1.04.4.1,Design Complete,Milestone,0,2025-09-05,2025-09-05,Approved milestone / interface milestone,Source-explicit milestone date,2025-09-05,2025-09-05,2025-09-05,2025-09-05,2026-04-24,2026-04-24,165,FALSE
P04-A4b,P04,P04-CA02,P04-WP022,1.04.2.2,Regulatory Plan Review & Approval,Task,15,2025-09-08,2025-09-26,Project-type realism,Source-derived / reconstructed network,2025-09-08,2025-09-26,2025-09-08,2025-09-26,2025-10-06,2025-10-24,20,FALSE
P04-A5b,P04,P04-CA03,P04-WP031,1.04.3.1,"Bid Evaluation, Selection & Award Recommendation",Task,10,2025-09-08,2025-09-19,Project-type realism,Source-derived / reconstructed network,2025-09-08,2025-09-19,2025-09-08,2025-09-19,2025-09-08,2025-09-19,0,TRUE
P04-A5c,P04,P04-CA03,P04-WP032,1.04.3.2,Governing Body Award Approval,Task,10,2025-09-22,2025-10-03,Project-type realism,Source-derived / reconstructed network,2025-09-22,2025-10-03,2025-09-22,2025-10-03,2025-09-22,2025-10-03,0,TRUE
P04-M2,P04,P04-CA04,P04-WP041,1.04.4.1,Contract Award / NTP,Milestone,0,2025-10-24,2025-10-24,Approved milestone / interface milestone,Source-explicit milestone date,2025-10-24,2025-10-24,2025-10-24,2025-10-24,2025-10-24,2025-10-24,0,TRUE
P04-A6,P04,P04-CA03,P04-WP032,1.04.3.2,Contractor Mobilization,Task,10,2025-10-27,2025-11-07,Project-type realism,Source-derived / reconstructed network,2025-10-27,2025-11-07,2025-10-27,2025-11-07,2025-11-03,2025-11-14,5,FALSE
P04-A7,P04,P04-CA04,P04-WP041,1.04.4.1,Tank Shutdown & Dewatering Planning,Task,15,2025-10-27,2025-11-14,Project-type realism,Source-derived / reconstructed network,2025-10-27,2025-11-14,2025-10-27,2025-11-14,2025-10-27,2025-11-14,0,TRUE
P04-A8,P04,P04-CA04,P04-WP041,1.04.4.1,Take Tank Offline & Dewater,Task,5,2025-11-17,2025-11-21,Project-type realism,Source-derived / reconstructed network,2025-11-17,2025-11-21,2025-11-17,2025-11-21,2025-11-17,2025-11-21,0,TRUE
P04-A9,P04,P04-CA04,P04-WP041,1.04.4.1,Interior/Exterior Surface Preparation (abrasive blasting),Task,15,2025-11-24,2025-12-12,Project-type realism,Source-derived / reconstructed network,2025-11-24,2025-12-12,2025-11-24,2025-12-12,2025-11-24,2025-12-12,0,TRUE
P04-A10,P04,P04-CA04,P04-WP042,1.04.4.2,Structural Steel Repairs,Task,10,2025-12-15,2025-12-26,Project-type realism,Source-derived / reconstructed network,2025-12-15,2025-12-26,2025-12-15,2025-12-26,2025-12-15,2025-12-26,0,TRUE
P04-A11,P04,P04-CA04,P04-WP043,1.04.4.3,Cathodic Protection System Installation,Task,15,2025-12-29,2026-01-16,Project-type realism,Source-derived / reconstructed network,2025-12-29,2026-01-16,2025-12-29,2026-01-16,2025-12-29,2026-01-16,0,TRUE
P04-A12,P04,P04-CA04,P04-WP041,1.04.4.1,Interior/Exterior Coating Application,Task,20,2026-01-19,2026-02-13,"Synthetic, industry-informed",Source-derived / reconstructed network,2026-01-19,2026-02-13,2026-01-19,2026-02-13,2026-01-19,2026-02-13,0,TRUE
P04-A13,P04,P04-CA04,P04-WP041,1.04.4.1,Coating Cure Time,Task,10,2026-02-16,2026-02-27,Synthetic project-specific planning assumption,Source-derived / reconstructed network,2026-02-16,2026-02-27,2026-02-16,2026-02-27,2026-02-16,2026-02-27,0,TRUE
P04-A14,P04,P04-CA04,P04-WP041,1.04.4.1,Refill & Disinfection,Task,5,2026-03-02,2026-03-06,Project-type realism,Source-derived / reconstructed network,2026-03-02,2026-03-06,2026-03-02,2026-03-06,2026-03-02,2026-03-06,0,TRUE
P04-A15,P04,P04-CA02,P04-WP022,1.04.2.2,Bacteriological Sampling & Regulatory Clearance,Task,5,2026-03-09,2026-03-13,Project-type realism,Source-derived / reconstructed network,2026-03-09,2026-03-13,2026-03-09,2026-03-13,2026-03-09,2026-03-13,0,TRUE
P04-M5,P04,P04-CA04,P04-WP041,1.04.4.1,Major Process Equipment Delivered,Milestone,0,2026-03-13,2026-03-13,Approved milestone / interface milestone,Source-explicit milestone date,2026-03-13,2026-03-13,2026-03-13,2026-03-13,2026-04-24,2026-04-24,30,FALSE
P04-A16,P04,P04-CA04,P04-WP041,1.04.4.1,Final Inspection & Punch List,Task,10,2026-03-16,2026-03-27,Project-type realism,Source-derived / reconstructed network,2026-03-16,2026-03-27,2026-03-16,2026-03-27,2026-03-16,2026-03-27,0,TRUE
P04-M3,P04,P04-CA04,P04-WP041,1.04.4.1,Substantial Completion,Milestone,0,2026-03-27,2026-03-27,Approved milestone / interface milestone,Source-explicit milestone date,2026-03-27,2026-03-27,2026-03-27,2026-03-27,2026-04-24,2026-04-24,20,FALSE
P04-A17,P04,P04-CA06,P04-WP061,1.04.6.1,Documentation & Turnover,Task,10,2026-03-30,2026-04-10,Project-type realism,Source-derived / reconstructed network,2026-03-30,2026-04-10,2026-03-30,2026-04-10,2026-03-30,2026-04-10,0,TRUE
P04-A18,P04,P04-CA06,P04-WP062,1.04.6.2,Financial Closeout,Task,15,2026-04-06,2026-04-24,Project-type realism,Recovered from approved P04 M3/M4 dates + SS+5 closeout overlap,2026-04-06,2026-04-24,2026-04-06,2026-04-24,2026-04-06,2026-04-24,0,TRUE
P04-M4,P04,P04-CA04,P04-WP041,1.04.4.1,Final Completion,Milestone,0,2026-04-24,2026-04-24,Approved milestone / interface milestone,Source-explicit milestone date,2026-04-24,2026-04-24,2026-04-24,2026-04-24,2026-04-24,2026-04-24,0,TRUE
P05-A1,P05,P05-CA01,P05-WP011,1.05.1.1,Lead Service Line Inventory Review & Prioritization,Task,15,2025-03-03,2025-03-21,Project-type realism,Source-derived / reconstructed network,2025-03-03,2025-03-21,2025-03-03,2025-03-21,2025-03-03,2025-03-21,0,TRUE
P05-A2,P05,P05-CA01,P05-WP012,1.05.1.2,Project Definition & Zone/Batch Plan Development,Task,10,2025-03-24,2025-04-04,Project-type realism,Source-derived / reconstructed network,2025-03-24,2025-04-04,2025-03-24,2025-04-04,2025-03-24,2025-04-04,0,TRUE
P05-A3,P05,P05-CA02,P05-WP021,1.05.2.1,Preliminary Design — Typical Replacement Details & Specs (30%),Task,15,2025-04-07,2025-04-25,Project-type realism,Source-derived / reconstructed network,2025-04-07,2025-04-25,2025-04-07,2025-04-25,2025-04-07,2025-04-25,0,TRUE
P05-A4,P05,P05-CA02,P05-WP022,1.05.2.2,Final Design — Standard Specs & Bid Documents (100%),Task,15,2025-05-05,2025-05-23,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network,2025-05-05,2025-05-23,2025-05-05,2025-05-23,2025-05-05,2025-05-23,0,TRUE
P05-A5,P05,P05-CA03,P05-WP031,1.05.3.1,Bid Advertisement,Task,15,2025-05-19,2025-06-06,Project-type realism,Source-derived / reconstructed network,2025-05-19,2025-06-06,2025-05-19,2025-06-06,2025-05-19,2025-06-06,0,TRUE
P05-M1,P05,P05-CA04,P05-WP041,1.05.4.1,Design Complete,Milestone,0,2025-05-23,2025-05-23,Approved milestone / interface milestone,Source-explicit milestone date,2025-05-23,2025-05-23,2025-05-23,2025-05-23,2026-05-15,2026-05-15,255,FALSE
P05-A4b,P05,P05-CA02,P05-WP022,1.05.2.2,Regulatory Plan Review & Approval,Task,15,2025-05-26,2025-06-13,Project-type realism,Source-derived / reconstructed network,2025-05-26,2025-06-13,2025-05-26,2025-06-13,2025-06-23,2025-07-11,20,FALSE
P05-A5b,P05,P05-CA03,P05-WP031,1.05.3.1,Evaluation & Award Recommendation,Task,10,2025-06-09,2025-06-20,Project-type realism,Source-derived / reconstructed network,2025-06-09,2025-06-20,2025-06-09,2025-06-20,2025-06-09,2025-06-20,0,TRUE
P05-A5c,P05,P05-CA03,P05-WP032,1.05.3.2,Governing Body Approval,Task,10,2025-06-23,2025-07-04,Project-type realism,Source-derived / reconstructed network,2025-06-23,2025-07-04,2025-06-23,2025-07-04,2025-06-23,2025-07-04,0,TRUE
P05-M2,P05,P05-CA04,P05-WP041,1.05.4.1,Contract Award / NTP,Milestone,0,2025-07-11,2025-07-11,Approved milestone / interface milestone,Source-explicit milestone date,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,2025-07-11,0,TRUE
P05-A10,P05,P05-CA02,P05-WP022,1.05.2.2,Street Opening / Right-of-Way Permitting (program-wide),Task,15,2025-07-14,2025-08-01,Project-type realism,Source-derived / reconstructed network,2025-07-14,2025-08-01,2025-07-14,2025-08-01,2025-08-04,2025-08-22,15,FALSE
P05-A11,P05,P05-CA03,P05-WP032,1.05.3.2,Material Procurement — Copper Tubing & Fittings,Task,30,2025-07-14,2025-08-22,"Synthetic, industry-informed","Semantic WBS mapping corrected: bulk material procurement belongs in Procurement, not Construction",2025-07-14,2025-08-22,2025-07-14,2025-08-22,2025-07-14,2025-08-22,0,TRUE
P05-A6,P05,P05-CA03,P05-WP032,1.05.3.2,Contractor Mobilization (multi-crew),Task,15,2025-07-14,2025-08-01,Project-type realism,Source-derived / reconstructed network,2025-07-14,2025-08-01,2025-07-14,2025-08-01,2025-08-04,2025-08-22,15,FALSE
P05-A7,P05,P05-CA04,P05-WP041,1.05.4.1,Customer/Property Outreach Campaign (program-wide),Task,40,2025-07-14,2025-09-05,"Synthetic, industry-informed",Source-derived / reconstructed network,2025-07-14,2025-09-05,2025-07-14,2025-09-05,2025-07-14,2025-09-05,0,TRUE
P05-A9,P05,P05-CA04,P05-WP041,1.05.4.1,Access/Consent Coordination & Scheduling,Task,20,2025-07-28,2025-08-22,Project-type realism,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-07-28,2025-08-22,2025-07-28,2025-08-22,2025-07-28,2025-08-22,0,TRUE
P05-A8,P05,P05-CA01,P05-WP011,1.05.1.1,Property Eligibility & Service Line Material Verification,Task,30,2025-08-04,2025-09-12,Project-type realism,Semantic WBS mapping corrected: eligibility/material verification is pre-field inventory/assessment work,2025-08-04,2025-09-12,2025-08-04,2025-09-12,2026-04-06,2026-05-15,175,FALSE
P05-A12a,P05,P05-CA04,P05-WP041,1.05.4.1,Zone A Field Replacement,Task,55,2025-08-25,2025-11-07,"Synthetic, industry-informed",Recovered by reconciliation to approved P05 milestone dates and published durations,2025-08-25,2025-11-07,2025-08-25,2025-11-07,2025-08-25,2025-11-07,0,TRUE
P05-AFIRST,P05,P05-CA04,P05-WP041,1.05.4.1,Complete First Service Line Replacement,Task,2,2025-08-25,2025-08-26,Approved P05 v2 explicit completed-scope activity,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-08-25,2025-08-26,2025-08-25,2025-08-26,2026-05-14,2026-05-15,188,FALSE
P05-MFIRST,P05,P05-CA04,P05-WP041,1.05.4.1,MFIRST,Milestone,0,2025-08-26,2025-08-26,Approved milestone / interface milestone,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-08-26,2025-08-26,2025-08-26,2025-08-26,2026-05-15,2026-05-15,188,FALSE
P05-A12b,P05,P05-CA04,P05-WP042,1.05.4.2,Zone A Property Restoration,Task,55,2025-09-15,2025-11-28,Project-type realism,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-09-15,2025-11-28,2025-09-15,2025-11-28,2025-12-08,2026-02-20,60,FALSE
P05-A13a,P05,P05-CA04,P05-WP041,1.05.4.1,Zone B Field Replacement,Task,55,2025-09-22,2025-12-05,"Synthetic, industry-informed",Recovered by reconciliation to approved P05 milestone dates and published durations,2025-09-22,2025-12-05,2025-09-22,2025-12-05,2025-09-22,2025-12-05,0,TRUE
P05-A13b,P05,P05-CA04,P05-WP042,1.05.4.2,Zone B Property Restoration,Task,55,2025-10-13,2025-12-26,Project-type realism,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-10-13,2025-12-26,2025-10-13,2025-12-26,2025-12-08,2026-02-20,40,FALSE
P05-A14a,P05,P05-CA04,P05-WP041,1.05.4.1,Zone C Field Replacement,Task,55,2025-10-20,2026-01-02,"Synthetic, industry-informed",Recovered by reconciliation to approved P05 milestone dates and published durations,2025-10-20,2026-01-02,2025-10-20,2026-01-02,2025-10-20,2026-01-02,0,TRUE
P05-M25,P05,P05-CA04,P05-WP041,1.05.4.1,M25,Milestone,0,2025-11-07,2025-11-07,Approved milestone / interface milestone,Source-explicit milestone date,2025-11-07,2025-11-07,2025-11-07,2025-11-07,2026-05-15,2026-05-15,135,FALSE
P05-A14b,P05,P05-CA04,P05-WP042,1.05.4.2,Zone C Property Restoration,Task,55,2025-11-10,2026-01-23,Project-type realism,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-11-10,2026-01-23,2025-11-10,2026-01-23,2025-12-08,2026-02-20,20,FALSE
P05-A15a,P05,P05-CA04,P05-WP041,1.05.4.1,Zone D Field Replacement,Task,55,2025-11-17,2026-01-30,"Synthetic, industry-informed",Recovered by reconciliation to approved P05 milestone dates and published durations,2025-11-17,2026-01-30,2025-11-17,2026-01-30,2025-11-17,2026-01-30,0,TRUE
P05-A12c,P05,P05-CA05,P05-WP051,1.05.5.1,Zone A Water Quality Sampling & Customer Notification,Task,15,2025-12-01,2025-12-19,Project-type realism; remapped to Testing & Commissioning,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-12-01,2025-12-19,2025-12-01,2025-12-19,2026-02-23,2026-03-13,60,FALSE
P05-M50,P05,P05-CA04,P05-WP041,1.05.4.1,M50,Milestone,0,2025-12-05,2025-12-05,Approved milestone / interface milestone,Source-explicit milestone date,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2026-05-15,2026-05-15,115,FALSE
P05-A15b,P05,P05-CA04,P05-WP042,1.05.4.2,Zone D Property Restoration,Task,55,2025-12-08,2026-02-20,Project-type realism,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-12-08,2026-02-20,2025-12-08,2026-02-20,2025-12-08,2026-02-20,0,TRUE
P05-A13c,P05,P05-CA05,P05-WP051,1.05.5.1,Zone B Water Quality Sampling & Customer Notification,Task,15,2025-12-29,2026-01-16,Project-type realism; remapped to Testing & Commissioning,Recovered by reconciliation to approved P05 milestone dates and published durations,2025-12-29,2026-01-16,2025-12-29,2026-01-16,2026-02-23,2026-03-13,40,FALSE
P05-M75,P05,P05-CA04,P05-WP041,1.05.4.1,M75,Milestone,0,2026-01-02,2026-01-02,Approved milestone / interface milestone,Source-explicit milestone date,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-05-15,2026-05-15,95,FALSE
P05-A14c,P05,P05-CA05,P05-WP051,1.05.5.1,Zone C Water Quality Sampling & Customer Notification,Task,15,2026-01-26,2026-02-13,Project-type realism; remapped to Testing & Commissioning,Recovered by reconciliation to approved P05 milestone dates and published durations,2026-01-26,2026-02-13,2026-01-26,2026-02-13,2026-02-23,2026-03-13,20,FALSE
P05-MTARGET,P05,P05-CA04,P05-WP041,1.05.4.1,MTARGET,Milestone,0,2026-01-30,2026-01-30,Approved milestone / interface milestone,Source-explicit milestone date,2026-01-30,2026-01-30,2026-01-30,2026-01-30,2026-05-15,2026-05-15,75,FALSE
P05-A15c,P05,P05-CA05,P05-WP051,1.05.5.1,Zone D Water Quality Sampling & Customer Notification,Task,15,2026-02-23,2026-03-13,Project-type realism; remapped to Testing & Commissioning,Recovered by reconciliation to approved P05 milestone dates and published durations,2026-02-23,2026-03-13,2026-02-23,2026-03-13,2026-02-23,2026-03-13,0,TRUE
P05-A16,P05,P05-CA04,P05-WP041,1.05.4.1,Final Program Inspection & Punch List,Task,15,2026-03-16,2026-04-03,Project-type realism,Recovered by reconciliation to approved P05 milestone dates and published durations,2026-03-16,2026-04-03,2026-03-16,2026-04-03,2026-03-16,2026-04-03,0,TRUE
P05-M3,P05,P05-CA04,P05-WP041,1.05.4.1,Substantial Completion,Milestone,0,2026-04-03,2026-04-03,Approved milestone / interface milestone,Source-explicit milestone date,2026-04-03,2026-04-03,2026-04-03,2026-04-03,2026-05-15,2026-05-15,30,FALSE
P05-A17,P05,P05-CA06,P05-WP061,1.05.6.1,GIS & Service Line Inventory Records Update / Documentation & Turnover,Task,20,2026-04-06,2026-05-01,Project-type realism,Semantic WBS mapping corrected: documentation/GIS turnover belongs in Closeout,2026-04-06,2026-05-01,2026-04-06,2026-05-01,2026-04-06,2026-05-01,0,TRUE
