Cost_Ownership_Line_ID,Project_ID,Schedule_Activity_ID,Schedule_WP_ID,Funded_Cost_WP_ID,Cost_Component,Component_BAC_USD,Activity_Start,Activity_Finish,Calendar,Proposed_Rule_Code,Weights_Pct,Synthetic_Planned_Event_Dates,Scheduled_Recognition_Definition,Future_EV_Evidence_Requirement,Source_Method,Prior_Readiness_Status,Provenance,Approval_Status
CL0047,P02,P02-A15,P02-WP051,P02-WP051,SOURCE_WP_SCOPE,264000,2026-01-15,2026-01-21,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-01-21,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0048,P02,P02-A16,P02-WP061,P02-WP061,SOURCE_WP_SCOPE,171600,2026-01-22,2026-02-04,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-02-04,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WORKDAY_OR_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0049,P02,P02-A17,P02-WP062,P02-WP062,SOURCE_WP_SCOPE,92400,2026-02-05,2026-02-25,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-02-25,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WORKDAY_OR_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0050,P03,P03-A1,P03-WP011,P03-WP011,SOURCE_WP_SCOPE,274050,2025-01-02,2025-01-22,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0051,P03,P03-A2,P03-WP012,P03-WP012,SOURCE_WP_SCOPE,334950,2025-01-23,2025-02-05,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0052,P03,P03-A3,P03-WP021,P03-WP021,SOURCE_WP_SCOPE,292320,2025-02-20,2025-04-16,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0053,P03,P03-A4,P03-WP021,P03-WP021,SOURCE_WP_SCOPE,292320,2025-04-17,2025-05-07,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0054,P03,P03-A2b,P03-WP022,P03-WP022,SOURCE_WP_SCOPE,138040,2025-02-06,2025-02-19,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0055,P03,P03-A5,P03-WP022,P03-WP022,SOURCE_WP_SCOPE,414120,2025-05-08,2025-06-18,MON_FRI_NO_HOLIDAYS,WORKDAY_FALLBACK,PER_WORKDAY,ALL_BUSINESS_DAYS,Even workday spread pending planned installation quantities; do not describe workday progression as measured physical quantity.,Approved workday fallback or quantity schedule,QUANTITY_OR_WEIGHTED,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0056,P03,P03-A6,P03-WP022,P03-WP022,SOURCE_WP_SCOPE,138040,2025-06-19,2025-07-09,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0057,P03,P03-A7,P03-WP022,P03-WP022,SOURCE_WP_SCOPE,138040,2025-06-26,2025-07-23,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0058,P03,P03-A7b,P03-WP022,P03-WP022,SOURCE_WP_SCOPE,138040,2025-07-24,2025-09-03,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0059,P03,P03-A30,P03-WP022,P03-WP022,SOURCE_WP_SCOPE,276080,2026-11-05,2026-12-02,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-12-02,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0060,P03,P03-A8,P03-WP031,P03-WP031,SOURCE_WP_SCOPE,248675,2025-07-10,2025-08-06,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0061,P03,P03-A9,P03-WP031,P03-WP031,SOURCE_WP_SCOPE,248675,2025-08-07,2025-08-27,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0062,P03,P03-A9b,P03-WP032,P03-WP032,SOURCE_WP_SCOPE,461825,2025-08-28,2025-09-17,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0063,P03,P03-A10,P03-WP032,P03-WP032,SOURCE_WP_SCOPE,461825,2025-09-18,2025-10-15,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0064,P03,P03-A11,P03-WP041,P03-WP041,SOURCE_WP_SCOPE,434659,2025-09-18,2025-10-15,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-09-23|2025-10-01|2025-10-09|2025-10-15,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WORKDAY_OR_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0065,P03,P03-A12,P03-WP041,P03-WP041,SOURCE_WP_SCOPE,1738635,2025-10-16,2026-03-04,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-11-12|2025-12-24|2026-02-04|2026-03-04,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WEIGHTED_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0066,P03,P03-A13,P03-WP041,P03-WP041,SOURCE_WP_SCOPE,434659,2026-03-05,2026-03-25,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2026-03-09|2026-03-16|2026-03-20|2026-03-25,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WORKDAY_OR_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0067,P03,P03-A14,P03-WP041,P03-WP041,SOURCE_WP_SCOPE,1738635,2026-03-26,2026-04-08,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2026-03-27|2026-04-01|2026-04-06|2026-04-08,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WEIGHTED_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0068,P03,P03-A15,P03-WP041,P03-WP041,SOURCE_WP_SCOPE,2173294,2026-04-09,2026-07-01,MON_FRI_NO_HOLIDAYS,WORKDAY_FALLBACK,PER_WORKDAY,ALL_BUSINESS_DAYS,Even workday spread pending planned installation quantities; do not describe workday progression as measured physical quantity.,Approved workday fallback or quantity schedule,QUANTITY_DRIVEN_PROVISIONAL,QUANTITY_PROFILE_OR_FALLBACK_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0069,P03,P03-A29,P03-WP041,P03-WP041,SOURCE_WP_SCOPE,869318,2026-09-10,2026-09-30,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-09-30,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0070,P03,P03-A16,P03-WP042,P03-WP042,SOURCE_WP_SCOPE,355250,2025-09-18,2025-10-15,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-09-23|2025-10-01|2025-10-09|2025-10-15,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WORKDAY_OR_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0071,P03,P03-A17,P03-WP042,P03-WP042,SOURCE_WP_SCOPE,1421000,2025-10-16,2026-02-04,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-11-06|2025-12-10|2026-01-13|2026-02-04,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WEIGHTED_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0072,P03,P03-A18,P03-WP042,P03-WP042,SOURCE_WP_SCOPE,355250,2026-02-05,2026-02-18,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0073,P03,P03-A19,P03-WP042,P03-WP042,SOURCE_WP_SCOPE,1421000,2026-02-19,2026-03-02,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2026-02-20|2026-02-24|2026-02-27|2026-03-02,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WEIGHTED_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0074,P03,P03-A20,P03-WP042,P03-WP042,SOURCE_WP_SCOPE,1065750,2026-05-07,2026-07-08,MON_FRI_NO_HOLIDAYS,WORKDAY_FALLBACK,PER_WORKDAY,ALL_BUSINESS_DAYS,Even workday spread pending planned installation quantities; do not describe workday progression as measured physical quantity.,Approved workday fallback or quantity schedule,QUANTITY_OR_WEIGHTED,QUANTITY_PROFILE_OR_FALLBACK_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0075,P03,P03-A25,P03-WP042,P03-WP042,SOURCE_WP_SCOPE,355250,2026-07-09,2026-08-05,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0076,P03,P03-A21,P03-WP043,P03-WP043,SOURCE_WP_SCOPE,153942,2025-09-18,2025-10-08,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-09-22|2025-09-29|2025-10-03|2025-10-08,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WORKDAY_OR_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0077,P03,P03-A22,P03-WP043,P03-WP043,SOURCE_WP_SCOPE,615767,2025-10-09,2025-12-17,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-10-22|2025-11-12|2025-12-03|2025-12-17,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WEIGHTED_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0078,P03,P03-A23,P03-WP043,P03-WP043,SOURCE_WP_SCOPE,615766,2025-12-18,2025-12-29,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-12-19|2025-12-23|2025-12-26|2025-12-29,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WEIGHTED_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0079,P03,P03-A24,P03-WP043,P03-WP043,SOURCE_WP_SCOPE,461825,2026-05-21,2026-06-24,MON_FRI_NO_HOLIDAYS,WORKDAY_FALLBACK,PER_WORKDAY,ALL_BUSINESS_DAYS,Even workday spread pending planned installation quantities; do not describe workday progression as measured physical quantity.,Approved workday fallback or quantity schedule,QUANTITY_OR_WEIGHTED,QUANTITY_PROFILE_OR_FALLBACK_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0080,P03,P03-A26,P03-WP051,P03-WP051,SOURCE_WP_SCOPE,446601,2026-08-06,2026-08-26,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-08-26,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0081,P03,P03-A27,P03-WP051,P03-WP051,SOURCE_WP_SCOPE,446599,2026-08-27,2026-10-07,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-10-07,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0082,P03,P03-A31,P03-WP061,P03-WP061,SOURCE_WP_SCOPE,284200,2026-12-03,2026-12-23,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-12-23,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0083,P03,P03-A32,P03-WP061,P03-WP061,SOURCE_WP_SCOPE,142100,2026-12-03,2026-12-30,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-12-30,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WORKDAY_OR_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0084,P03,P03-A33,P03-WP062,P03-WP062,SOURCE_WP_SCOPE,182700,2026-12-31,2027-01-27,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2027-01-27,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WORKDAY_OR_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0085,P04,P04-A1,P04-WP011,P04-WP011,SOURCE_WP_SCOPE,82500,2025-06-02,2025-06-13,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0086,P04,P04-A2,P04-WP012,P04-WP012,SOURCE_WP_SCOPE,82500,2025-06-16,2025-06-20,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0087,P04,P04-A3,P04-WP021,P04-WP021,SOURCE_WP_SCOPE,134750,2025-06-23,2025-07-18,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0088,P04,P04-A4,P04-WP022,P04-WP022,SOURCE_WP_SCOPE,62563,2025-08-04,2025-09-05,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0089,P04,P04-A4b,P04-WP022,P04-WP022,SOURCE_WP_SCOPE,62562,2025-09-08,2025-09-26,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0090,P04,P04-A15,P04-WP022,P04-WP022,SOURCE_WP_SCOPE,125125,2026-03-09,2026-03-13,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2026-03-13,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0091,P04,P04-A5,P04-WP031,P04-WP031,SOURCE_WP_SCOPE,67375,2025-08-18,2025-09-05,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0092,P04,P04-A5b,P04-WP031,P04-WP031,SOURCE_WP_SCOPE,67375,2025-09-08,2025-09-19,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0093,P04,P04-A5c,P04-WP032,P04-WP032,SOURCE_WP_SCOPE,125125,2025-09-22,2025-10-03,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
