WBS_Code,WBS_Level,Project_ID,Project_Name,Control_Account_ID,Control_Account_Name,Work_Package_ID,Work_Package_Name,Standard_Lifecycle_Phase,Responsible_Role,Description
1.07.6.1,4,P07,East Zone Pressure Management Improvements,P07-CA06,Closeout,P07-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for East Zone Pressure Management Improvements.
1.07.6.2,4,P07,East Zone Pressure Management Improvements,P07-CA06,Closeout,P07-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for East Zone Pressure Management Improvements."
1.08.1,3,P08,Emergency Generator & Electrical Resiliency,P08-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for Emergency Generator & Electrical Resiliency: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.08.1.1,4,P08,Emergency Generator & Electrical Resiliency,P08-CA01,Planning,P08-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for Emergency Generator & Electrical Resiliency."
1.08.1.2,4,P08,Emergency Generator & Electrical Resiliency,P08-CA01,Planning,P08-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for Emergency Generator & Electrical Resiliency."
1.08.2,3,P08,Emergency Generator & Electrical Resiliency,P08-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for Emergency Generator & Electrical Resiliency: develop and finalize engineering design to support procurement and construction.
1.08.2.1,4,P08,Emergency Generator & Electrical Resiliency,P08-CA02,Design,P08-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for Emergency Generator & Electrical Resiliency.
1.08.2.2,4,P08,Emergency Generator & Electrical Resiliency,P08-CA02,Design,P08-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for Emergency Generator & Electrical Resiliency.
1.08.3,3,P08,Emergency Generator & Electrical Resiliency,P08-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Emergency Generator & Electrical Resiliency: solicit, award, and execute construction and/or equipment contracts."
1.08.3.1,4,P08,Emergency Generator & Electrical Resiliency,P08-CA03,Procurement,P08-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for Emergency Generator & Electrical Resiliency.
1.08.3.2,4,P08,Emergency Generator & Electrical Resiliency,P08-CA03,Procurement,P08-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for Emergency Generator & Electrical Resiliency.
1.08.4,3,P08,Emergency Generator & Electrical Resiliency,P08-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for Emergency Generator & Electrical Resiliency: execute physical construction, installation, or implementation work."
1.08.4.1,4,P08,Emergency Generator & Electrical Resiliency,P08-CA04,Construction,P08-WP041,Generator Installation,Construction,Construction Manager / Contractor,Install new standby generator units and associated foundations/enclosures at each site.
1.08.4.2,4,P08,Emergency Generator & Electrical Resiliency,P08-CA04,Construction,P08-WP042,Automatic Transfer Switch Installation,Construction,Construction Manager / Contractor,Install automatic transfer switches and integrate with existing electrical distribution.
1.08.4.3,4,P08,Emergency Generator & Electrical Resiliency,P08-CA04,Construction,P08-WP043,Fuel Storage System Installation,Construction,Construction Manager / Contractor,Install fuel storage tanks and supply piping per code requirements.
1.08.5,3,P08,Emergency Generator & Electrical Resiliency,P08-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for Emergency Generator & Electrical Resiliency: test, start up, and verify system performance prior to acceptance."
1.08.5.1,4,P08,Emergency Generator & Electrical Resiliency,P08-CA05,Testing & Commissioning,P08-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for Emergency Generator & Electrical Resiliency.
1.08.6,3,P08,Emergency Generator & Electrical Resiliency,P08-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for Emergency Generator & Electrical Resiliency: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.08.6.1,4,P08,Emergency Generator & Electrical Resiliency,P08-CA06,Closeout,P08-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for Emergency Generator & Electrical Resiliency.
1.08.6.2,4,P08,Emergency Generator & Electrical Resiliency,P08-CA06,Closeout,P08-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for Emergency Generator & Electrical Resiliency."
1.09.1,3,P09,River Crossing Main Rehabilitation,P09-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for River Crossing Main Rehabilitation: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.09.1.1,4,P09,River Crossing Main Rehabilitation,P09-CA01,Planning,P09-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for River Crossing Main Rehabilitation."
1.09.1.2,4,P09,River Crossing Main Rehabilitation,P09-CA01,Planning,P09-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for River Crossing Main Rehabilitation."
1.09.2,3,P09,River Crossing Main Rehabilitation,P09-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for River Crossing Main Rehabilitation: develop and finalize engineering design to support procurement and construction.
1.09.2.1,4,P09,River Crossing Main Rehabilitation,P09-CA02,Design,P09-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for River Crossing Main Rehabilitation.
1.09.2.2,4,P09,River Crossing Main Rehabilitation,P09-CA02,Design,P09-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for River Crossing Main Rehabilitation.
1.09.3,3,P09,River Crossing Main Rehabilitation,P09-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for River Crossing Main Rehabilitation: solicit, award, and execute construction and/or equipment contracts."
1.09.3.1,4,P09,River Crossing Main Rehabilitation,P09-CA03,Procurement,P09-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for River Crossing Main Rehabilitation.
1.09.3.2,4,P09,River Crossing Main Rehabilitation,P09-CA03,Procurement,P09-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for River Crossing Main Rehabilitation.
1.09.4,3,P09,River Crossing Main Rehabilitation,P09-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for River Crossing Main Rehabilitation: execute physical construction, installation, or implementation work."
1.09.4.1,4,P09,River Crossing Main Rehabilitation,P09-CA04,Construction,P09-WP041,Directional Drilling / Crossing Installation,Construction,Construction Manager / Contractor,Perform horizontal directional drilling to install new main beneath the river crossing.
1.09.4.2,4,P09,River Crossing Main Rehabilitation,P09-CA04,Construction,P09-WP042,Pipe Fusion & Pressure Testing,Construction,Construction Manager / Contractor,Fuse HDPE pipe segments and perform hydrostatic pressure testing of the completed crossing.
1.09.4.3,4,P09,River Crossing Main Rehabilitation,P09-CA04,Construction,P09-WP043,Riverbank Restoration,Construction,Construction Manager / Contractor,"Restore riverbank grading, erosion control, and vegetation at entry/exit pit locations."
1.09.5,3,P09,River Crossing Main Rehabilitation,P09-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for River Crossing Main Rehabilitation: test, start up, and verify system performance prior to acceptance."
1.09.5.1,4,P09,River Crossing Main Rehabilitation,P09-CA05,Testing & Commissioning,P09-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for River Crossing Main Rehabilitation.
1.09.6,3,P09,River Crossing Main Rehabilitation,P09-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for River Crossing Main Rehabilitation: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.09.6.1,4,P09,River Crossing Main Rehabilitation,P09-CA06,Closeout,P09-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for River Crossing Main Rehabilitation.
1.09.6.2,4,P09,River Crossing Main Rehabilitation,P09-CA06,Closeout,P09-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for River Crossing Main Rehabilitation."
1.10.1,3,P10,SCADA Controls Modernization,P10-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for SCADA Controls Modernization: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.10.1.1,4,P10,SCADA Controls Modernization,P10-CA01,Planning,P10-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for SCADA Controls Modernization."
1.10.1.2,4,P10,SCADA Controls Modernization,P10-CA01,Planning,P10-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for SCADA Controls Modernization."
1.10.2,3,P10,SCADA Controls Modernization,P10-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for SCADA Controls Modernization: develop and finalize engineering design to support procurement and construction.
1.10.2.1,4,P10,SCADA Controls Modernization,P10-CA02,Design,P10-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for SCADA Controls Modernization.
1.10.2.2,4,P10,SCADA Controls Modernization,P10-CA02,Design,P10-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for SCADA Controls Modernization.
1.10.3,3,P10,SCADA Controls Modernization,P10-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for SCADA Controls Modernization: solicit, award, and execute construction and/or equipment contracts."
1.10.3.1,4,P10,SCADA Controls Modernization,P10-CA03,Procurement,P10-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for SCADA Controls Modernization.
1.10.3.2,4,P10,SCADA Controls Modernization,P10-CA03,Procurement,P10-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for SCADA Controls Modernization.
1.10.4,3,P10,SCADA Controls Modernization,P10-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for SCADA Controls Modernization: execute physical construction, installation, or implementation work."
1.10.4.1,4,P10,SCADA Controls Modernization,P10-CA04,Construction,P10-WP041,PLC Programming & Configuration,Construction,Construction Manager / Contractor,Develop and configure PLC logic for affected pump stations and treatment facilities.
1.10.4.2,4,P10,SCADA Controls Modernization,P10-CA04,Construction,P10-WP042,HMI Development,Construction,Construction Manager / Contractor,Develop human-machine interface screens and alarm configurations for operator use.
1.10.4.3,4,P10,SCADA Controls Modernization,P10-CA04,Construction,P10-WP043,Network & Communications Infrastructure,Construction,Construction Manager / Contractor,Install and configure the SCADA communications network linking field sites to the control center.
1.10.5,3,P10,SCADA Controls Modernization,P10-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for SCADA Controls Modernization: test, start up, and verify system performance prior to acceptance."
1.10.5.1,4,P10,SCADA Controls Modernization,P10-CA05,Testing & Commissioning,P10-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for SCADA Controls Modernization.
1.10.6,3,P10,SCADA Controls Modernization,P10-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for SCADA Controls Modernization: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.10.6.1,4,P10,SCADA Controls Modernization,P10-CA06,Closeout,P10-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for SCADA Controls Modernization.
1.10.6.2,4,P10,SCADA Controls Modernization,P10-CA06,Closeout,P10-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for SCADA Controls Modernization."
1.11.1,3,P11,Valve Replacement & Isolation Program,P11-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for Valve Replacement & Isolation Program: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.11.1.1,4,P11,Valve Replacement & Isolation Program,P11-CA01,Planning,P11-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for Valve Replacement & Isolation Program."
1.11.1.2,4,P11,Valve Replacement & Isolation Program,P11-CA01,Planning,P11-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for Valve Replacement & Isolation Program."
1.11.2,3,P11,Valve Replacement & Isolation Program,P11-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for Valve Replacement & Isolation Program: develop and finalize engineering design to support procurement and construction.
1.11.2.1,4,P11,Valve Replacement & Isolation Program,P11-CA02,Design,P11-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for Valve Replacement & Isolation Program.
1.11.2.2,4,P11,Valve Replacement & Isolation Program,P11-CA02,Design,P11-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for Valve Replacement & Isolation Program.
1.11.3,3,P11,Valve Replacement & Isolation Program,P11-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Valve Replacement & Isolation Program: solicit, award, and execute construction and/or equipment contracts."
1.11.3.1,4,P11,Valve Replacement & Isolation Program,P11-CA03,Procurement,P11-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for Valve Replacement & Isolation Program.
1.11.3.2,4,P11,Valve Replacement & Isolation Program,P11-CA03,Procurement,P11-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for Valve Replacement & Isolation Program.
1.11.4,3,P11,Valve Replacement & Isolation Program,P11-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for Valve Replacement & Isolation Program: execute physical construction, installation, or implementation work."
1.11.4.1,4,P11,Valve Replacement & Isolation Program,P11-CA04,Construction,P11-WP041,Isolation Valve Installation,Construction,Construction Manager / Contractor,Install new isolation valves at designated locations across the distribution system.
1.11.4.2,4,P11,Valve Replacement & Isolation Program,P11-CA04,Construction,P11-WP042,Distribution System Mapping Update,Construction,Construction Manager / Contractor,Update GIS and system mapping records to reflect newly installed valve locations and status.
1.11.4.3,4,P11,Valve Replacement & Isolation Program,P11-CA04,Construction,P11-WP043,Site Restoration,Construction,Construction Manager / Contractor,Restore pavement and surface conditions at each valve installation location.
1.11.5,3,P11,Valve Replacement & Isolation Program,P11-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for Valve Replacement & Isolation Program: test, start up, and verify system performance prior to acceptance."
1.11.5.1,4,P11,Valve Replacement & Isolation Program,P11-CA05,Testing & Commissioning,P11-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for Valve Replacement & Isolation Program.
1.11.6,3,P11,Valve Replacement & Isolation Program,P11-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for Valve Replacement & Isolation Program: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.11.6.1,4,P11,Valve Replacement & Isolation Program,P11-CA06,Closeout,P11-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for Valve Replacement & Isolation Program.
1.11.6.2,4,P11,Valve Replacement & Isolation Program,P11-CA06,Closeout,P11-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for Valve Replacement & Isolation Program."
1.12.1,3,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA01,Planning & Prioritization,,,Planning,Program Controls Office,"Planning & Prioritization phase for Programwide Small Capital & Emergency Response Improvements: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.12.1.1,4,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA01,Planning & Prioritization,P12-WP011,Work Order Intake & Prioritization,Planning,Program Controls Office,"Intake, screen, and prioritize candidate small-capital and emergency work orders across the program."
1.12.2,3,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA02,Design / Scope Development,,,Design,Program Controls Office,Design / Scope Development phase for Programwide Small Capital & Emergency Response Improvements: develop and finalize engineering design to support procurement and construction.
1.12.2.1,4,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA02,Design / Scope Development,P12-WP021,Field Scoping & Estimate,Design,Program Controls Office,Develop field scope and cost estimate for prioritized work orders.
1.12.3,3,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Programwide Small Capital & Emergency Response Improvements: solicit, award, and execute construction and/or equipment contracts."
1.12.3.1,4,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA03,Procurement,P12-WP031,Contractor / Materials Procurement,Procurement,Procurement & Contracts Lead,Procure contractor task-order support and/or materials for prioritized work orders.
1.12.4,3,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA04,Execution,,,Construction,Field Operations / Contractor,Execution phase for Programwide Small Capital & Emergency Response Improvements: perform planned small-capital repairs and prioritized emergency-response work.
1.12.4.1,4,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA04,Execution,P12-WP041,Small Capital Repair Execution,Construction,Field Operations / Contractor,"Execute planned, prioritized small-capital repair work orders across the distribution system."
1.12.4.2,4,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA04,Execution,P12-WP042,Emergency Response Work Execution,Construction,Field Operations / Contractor,Execute unplanned emergency repair work orders as they are identified and prioritized.
1.12.5,3,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA05,Verification / Acceptance,,,Testing & Commissioning,Program Controls Office,Verification / Acceptance phase for Programwide Small Capital & Emergency Response Improvements: confirm completed work meets specification before closing the work order.
1.12.5.1,4,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA05,Verification / Acceptance,P12-WP051,Work Order Acceptance & Sign-off,Testing & Commissioning,Program Controls Office,Confirm completed work orders meet specification and obtain sign-off.
1.12.6,3,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA06,Closeout,,,Closeout,Program Controls Office,"Closeout phase for Programwide Small Capital & Emergency Response Improvements: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.12.6.1,4,P12,Programwide Small Capital & Emergency Response Improvements,P12-CA06,Closeout,P12-WP061,Documentation & Work Order Closeout,Closeout,Program Controls Office,Finalize work order documentation and close out completed small-capital/emergency work orders.
