Cost_Ownership_Line_ID,Project_ID,Activity_ID,Funded_Cost_WP_ID,Component_BAC_USD,Baseline_Start,Baseline_Finish,Synthetic_Start,Synthetic_Finish_or_Gate,Recognition_Rule,Scenario_Status,Status_Date,Measured_Completion_Pct,Cumulative_EV_USD,Cumulative_AC_USD,Scenario_Assumption,Actual_Record_Provenance
CL0084,P03,P03-A33,P03-WP062,182700.00,2026-12-31,2027-01-27,2026-12-31,2027-02-03,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0085,P04,P04-A1,P04-WP011,82500.00,2025-06-02,2025-06-13,2025-06-13,2025-06-26,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,82500.00,94875.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0086,P04,P04-A2,P04-WP012,82500.00,2025-06-16,2025-06-20,2025-06-27,2025-07-03,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,82500.00,92400.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0087,P04,P04-A3,P04-WP021,134750.00,2025-06-23,2025-07-18,2025-07-04,2025-07-31,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,134750.00,154962.50,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0088,P04,P04-A4,P04-WP022,62563.00,2025-08-04,2025-09-05,2025-08-15,2025-09-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,62563.00,71947.45,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0089,P04,P04-A4b,P04-WP022,62562.00,2025-09-08,2025-09-26,2025-09-19,2025-10-09,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,62562.00,71946.30,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0090,P04,P04-A15,P04-WP022,125125.00,2026-03-09,2026-03-13,2026-03-20,2026-03-26,FINAL_GATE,ACTIVE,2026-03-31,100,125125.00,140140.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0091,P04,P04-A5,P04-WP031,67375.00,2025-08-18,2025-09-05,2025-08-29,2025-09-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,67375.00,75460.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0092,P04,P04-A5b,P04-WP031,67375.00,2025-09-08,2025-09-19,2025-09-23,2025-10-06,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,67375.00,77481.25,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0093,P04,P04-A5c,P04-WP032,125125.00,2025-09-22,2025-10-03,2025-10-03,2025-10-16,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,125125.00,143893.75,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0094,P04,P04-A6,P04-WP032,125125.00,2025-10-27,2025-11-07,2025-11-07,2025-11-20,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,125125.00,143893.75,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0095,P04,P04-A7,P04-WP041,247592.00,2025-10-27,2025-11-14,2025-11-05,2025-11-25,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,247592.00,277303.04,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0096,P04,P04-A8,P04-WP041,247592.00,2025-11-17,2025-11-21,2025-11-28,2025-12-04,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,247592.00,284730.80,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0097,P04,P04-A9,P04-WP041,247592.00,2025-11-24,2025-12-12,2025-12-05,2025-12-25,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,247592.00,277303.04,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0098,P04,P04-A12,P04-WP041,1237958.00,2026-01-19,2026-02-13,2026-01-28,2026-02-24,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,1237958.00,1386512.96,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0099,P04,P04-A13,P04-WP041,247592.00,2026-02-16,2026-02-27,2026-02-27,2026-03-12,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,247592.00,277303.04,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0100,P04,P04-A14,P04-WP041,247591.00,2026-03-02,2026-03-06,2026-03-13,2026-03-19,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,247591.00,277301.92,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0101,P04,P04-A16,P04-WP041,495183.00,2026-03-16,2026-03-27,2026-03-27,2026-04-09,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0102,P04,P04-A10,P04-WP042,814000.00,2025-12-15,2025-12-26,2025-12-30,2026-01-12,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,814000.00,911680.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0103,P04,P04-A11,P04-WP043,284900.00,2025-12-29,2026-01-16,2026-01-07,2026-01-27,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,284900.00,319088.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0104,P04,P04-A17,P04-WP061,107250.00,2026-03-30,2026-04-10,2026-04-10,2026-04-23,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0105,P04,P04-A18,P04-WP062,57750.00,2026-04-06,2026-04-24,2026-04-06,2026-05-07,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Tank rehabilitation has inspection/quality rework and cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0106,P05,P05-A1,P05-WP011,96200.00,2025-03-03,2025-03-21,2025-03-18,2025-04-07,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,96200.00,110630.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0107,P05,P05-A8,P05-WP011,192400.00,2025-08-04,2025-09-12,2025-08-19,2025-09-29,FINAL_GATE,ACTIVE,2026-03-31,100,192400.00,227032.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0108,P05,P05-A2,P05-WP012,155400.00,2025-03-24,2025-04-04,2025-04-08,2025-04-21,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,155400.00,178710.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0109,P05,P05-A3,P05-WP021,199800.00,2025-04-07,2025-04-25,2025-04-22,2025-05-12,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,199800.00,235764.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0110,P05,P05-A4,P05-WP022,155400.00,2025-05-05,2025-05-23,2025-05-20,2025-06-09,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,155400.00,183372.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0111,P05,P05-A4b,P05-WP022,155400.00,2025-05-26,2025-06-13,2025-06-10,2025-06-30,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,155400.00,178710.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0112,P05,P05-A10,P05-WP022,155400.00,2025-07-14,2025-08-01,2025-07-29,2025-08-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,155400.00,183372.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0113,P05,P05-A5,P05-WP031,116550.00,2025-05-19,2025-06-06,2025-06-03,2025-06-23,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,116550.00,137529.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0114,P05,P05-A5b,P05-WP031,116550.00,2025-06-09,2025-06-20,2025-06-24,2025-07-07,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,116550.00,134032.50,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0115,P05,P05-A5c,P05-WP032,72150.00,2025-06-23,2025-07-04,2025-07-08,2025-07-21,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,72150.00,82972.50,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0116,P05,P05-A11,P05-WP032,288600.00,2025-07-14,2025-08-22,2025-07-29,2025-09-08,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,288600.00,337662.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0117,P05,P05-A6,P05-WP032,72150.00,2025-07-14,2025-08-01,2025-07-29,2025-08-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,72150.00,85137.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0118,P05,P05-A7,P05-WP041,240582.00,2025-07-14,2025-09-05,2025-07-25,2025-09-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,240582.00,283886.76,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0119,P05,P05-A9,P05-WP041,240582.00,2025-07-28,2025-08-22,2025-08-12,2025-09-08,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,240582.00,276669.30,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0120,P05,P05-A12a,P05-WP041,1202911.00,2025-08-25,2025-11-07,2025-09-09,2025-11-24,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,1202911.00,1383347.65,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0121,P05,P05-AFIRST,P05-WP041,721747.00,2025-08-25,2025-08-26,2025-09-09,2025-09-10,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,721747.00,830009.05,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0122,P05,P05-A13a,P05-WP041,1202911.00,2025-09-22,2025-12-05,2025-10-07,2025-12-22,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,1202911.00,1383347.65,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0123,P05,P05-A14a,P05-WP041,1202911.00,2025-10-20,2026-01-02,2025-11-04,2026-01-19,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,1202911.00,1419434.98,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0124,P05,P05-A15a,P05-WP041,1202911.00,2025-11-17,2026-01-30,2025-12-02,2026-02-16,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,1202911.00,1383347.65,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0125,P05,P05-A16,P05-WP041,481165.00,2026-03-16,2026-04-03,2026-03-31,2026-04-20,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0126,P05,P05-A12b,P05-WP042,379620.00,2025-09-15,2025-11-28,2025-09-30,2025-12-15,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,379620.00,447951.60,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0127,P05,P05-A13b,P05-WP042,379620.00,2025-10-13,2025-12-26,2025-10-28,2026-01-12,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,379620.00,436563.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0128,P05,P05-A14b,P05-WP042,379620.00,2025-11-10,2026-01-23,2025-11-25,2026-02-09,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,379620.00,436563.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0129,P05,P05-A15b,P05-WP042,379620.00,2025-12-08,2026-02-20,2025-12-23,2026-03-09,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,379620.00,436563.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0130,P05,P05-A12c,P05-WP051,138750.00,2025-12-01,2025-12-19,2025-12-12,2026-01-01,FINAL_GATE,ACTIVE,2026-03-31,100,138750.00,159562.50,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0131,P05,P05-A13c,P05-WP051,138750.00,2025-12-29,2026-01-16,2026-01-13,2026-02-02,FINAL_GATE,ACTIVE,2026-03-31,100,138750.00,163725.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0132,P05,P05-A14c,P05-WP051,138750.00,2026-01-26,2026-02-13,2026-02-06,2026-02-26,FINAL_GATE,ACTIVE,2026-03-31,100,138750.00,159562.50,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0133,P05,P05-A15c,P05-WP051,138750.00,2026-02-23,2026-03-13,2026-03-10,2026-03-30,FINAL_GATE,ACTIVE,2026-03-31,100,138750.00,156787.50,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0134,P05,P05-A17,P05-WP061,249750.00,2026-04-06,2026-05-01,2026-04-06,2026-05-18,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0135,P05,P05-A18,P05-WP062,83250.00,2026-04-20,2026-05-15,2026-04-20,2026-05-28,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Four-zone field productivity below baseline.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0136,P06,P06-A1,P06-WP011,75900.00,2025-08-01,2025-08-21,2025-08-13,2025-09-02,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,75900.00,81972.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0137,P06,P06-A10,P06-WP011,75900.00,2025-12-12,2026-01-08,2025-12-22,2026-01-16,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,75900.00,81972.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0138,P06,P06-A2,P06-WP012,124200.00,2025-08-22,2025-09-04,2025-09-03,2025-09-16,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,124200.00,134136.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0139,P06,P06-A3,P06-WP021,265650.00,2025-09-05,2025-10-02,2025-09-17,2025-10-14,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,265650.00,286902.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0140,P06,P06-A4,P06-WP022,123338.00,2025-10-10,2025-11-06,2025-10-22,2025-11-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,123338.00,136905.18,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0141,P06,P06-A4b,P06-WP022,123338.00,2025-11-07,2025-11-20,2025-11-19,2025-12-02,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,123338.00,133205.04,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0142,P06,P06-A7,P06-WP022,123337.00,2025-12-12,2026-01-08,2025-12-24,2026-01-20,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,123337.00,133203.96,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0143,P06,P06-A8,P06-WP022,123337.00,2025-12-12,2026-01-01,2025-12-24,2026-01-13,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,123337.00,133203.96,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0144,P06,P06-A5,P06-WP031,89700.00,2025-10-24,2025-11-13,2025-11-05,2025-11-25,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,89700.00,96876.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0145,P06,P06-A5b,P06-WP031,89700.00,2025-11-14,2025-11-27,2025-11-26,2025-12-09,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,89700.00,99567.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0146,P06,P06-A11,P06-WP031,89700.00,2025-12-12,2026-01-01,2025-12-24,2026-01-13,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,89700.00,101361.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0147,P06,P06-A5c,P06-WP032,89700.00,2025-11-28,2025-12-11,2025-12-10,2025-12-23,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,89700.00,96876.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0148,P06,P06-A6,P06-WP032,89700.00,2025-12-12,2025-12-25,2025-12-24,2026-01-06,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,89700.00,96876.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0149,P06,P06-A12,P06-WP032,358800.00,2026-01-02,2026-03-26,2026-01-14,2026-04-07,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,80,287040.00,317179.20,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0150,P06,P06-A13,P06-WP032,89700.00,2026-03-27,2026-04-09,2026-04-08,2026-04-21,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0151,P06,P06-A15,P06-WP041,340947.00,2025-12-12,2025-12-25,2025-12-26,2026-01-08,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,340947.00,368222.76,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0152,P06,P06-APILOTSTAGE,P06-WP041,454595.00,2026-04-10,2026-04-16,2026-04-10,2026-04-30,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0153,P06,P06-A16,P06-WP041,340946.00,2026-04-17,2026-05-07,2026-04-17,2026-05-19,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0154,P06,P06-AFIRSTPILOT,P06-WP041,113649.00,2026-04-17,2026-04-20,2026-04-17,2026-04-30,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0155,P06,P06-A18a,P06-WP041,340946.00,2026-05-29,2026-07-16,2026-05-29,2026-07-28,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0156,P06,P06-A19a,P06-WP041,340946.00,2026-06-19,2026-08-06,2026-06-19,2026-08-18,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0157,P06,P06-A20a,P06-WP041,340946.00,2026-07-10,2026-08-27,2026-07-10,2026-09-08,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0158,P06,P06-A21a,P06-WP041,340946.00,2026-07-31,2026-09-17,2026-07-31,2026-10-01,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0159,P06,P06-A22,P06-WP041,113649.00,2026-10-02,2026-10-22,2026-10-02,2026-11-03,WORKDAY_SPREAD,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0160,P06,P06-A9,P06-WP042,641183.00,2026-01-09,2026-02-19,2026-01-21,2026-03-03,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,641183.00,692477.64,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0161,P06,P06-A14,P06-WP042,213727.00,2026-02-20,2026-03-19,2026-03-06,2026-04-02,WORKDAY_SPREAD,ACTIVE,2026-03-31,90,192354.30,207742.64,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0162,P06,P06-A18b,P06-WP043,122130.00,2026-07-17,2026-07-30,2026-07-17,2026-08-11,WORKDAY_SPREAD,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0163,P06,P06-A19b,P06-WP043,122130.00,2026-08-07,2026-08-20,2026-08-07,2026-09-01,WORKDAY_SPREAD,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0164,P06,P06-A20b,P06-WP043,122130.00,2026-08-28,2026-09-10,2026-08-28,2026-09-22,WORKDAY_SPREAD,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0165,P06,P06-A21b,P06-WP043,122130.00,2026-09-18,2026-10-01,2026-09-18,2026-10-13,WORKDAY_SPREAD,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0166,P06,P06-A17,P06-WP051,230000.00,2026-05-08,2026-05-28,2026-05-08,2026-06-09,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0167,P06,P06-A23,P06-WP051,345000.00,2026-10-23,2026-11-05,2026-10-23,2026-11-13,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0168,P06,P06-A24,P06-WP051,115000.00,2026-11-06,2026-11-19,2026-11-06,2026-12-01,WORKDAY_SPREAD,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0169,P06,P06-A25,P06-WP061,144900.00,2026-11-20,2026-12-03,2026-11-20,2026-12-15,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; AMI pilot staging experiencing integration delay and material premium.,SIMULATED_NOT_EXTERNAL_EVIDENCE
